StudyIdStr,Experiment,NumberOfAnimals,Average,Vehicle.control.,reconciled
03958613-4da9-4de2-8e6b-f63c33a392e1,A,10,10,,x
2ea6da77-9ff3-41a6-9ad5-a46de336416b,A,12,8.33333333333333,,
2ea6da77-9ff3-41a6-9ad5-a46de336416b,A,24,12.5,1% alcohol,
2ea6da77-9ff3-41a6-9ad5-a46de336416b,rec,36,11.1111111111111,,x
2f3c1ffb-db00-4396-81d1-2051871f6170,A,34,17.7,,x
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef,A,10,0,,x
40eb6735-2129-464e-b255-3ecc0c1dd2a2,A,8,37.5,"0,9% NaCl",x
49221963-9cb6-4a25-8dae-48290990747d,A,46,10.8695652173913,,x
4e20f054-08ef-4296-994e-6ca213e76698,A,13,7.69230769230769,,x
55615754-99dc-4dba-a628-da3b780a3d99,A,17,23.5294117647059,,x
5af257e3-1c25-4e41-9d7b-4e017fb5b981,A,28,25,,x
61702aff-9b39-42fe-8c00-c62c2bff42ae,B,38,21.0526315789474,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ",
61702aff-9b39-42fe-8c00-c62c2bff42ae,C,16,12.5,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ",
61702aff-9b39-42fe-8c00-c62c2bff42ae,rec,54,18.5185185185185,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ",x
6ba7f978-80f7-4460-a0d9-0f8042112225,A,58,18.9655172413793,,x
6f303a27-1ca6-4ff9-9ece-b4d557d2e5e0,A,37,18.9189189189189,,x
7aa59db0-c9d4-45a0-9bca-8fa61bc41df8,A,28,28.6,Saline,x
7e7d3286-31d1-4376-8373-8445a381b577,B,14,14.2857142857143,Saline,
7e7d3286-31d1-4376-8373-8445a381b577,C,15,20,Saline,
7e7d3286-31d1-4376-8373-8445a381b577,rec,29,17.2413793103448,Saline,x
7faa52e0-6c96-4611-92ae-5e938b1af4f7,A,15,26.6666666666667,,x
971d93e5-4b91-4cdc-884d-1069d7400db7,A,15,13.3333333333333,,x
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf,A,14,7.14285714285714,,x
e99bd6b7-7e0b-4047-a4b3-b277aab80a2c,A,35,20,,x
ef45a356-7026-45c3-ab9c-6d94465bb727,A,15,20,,
ef45a356-7026-45c3-ab9c-6d94465bb727,C,21,14.2857142857143,corn oil,
ef45a356-7026-45c3-ab9c-6d94465bb727,rec,36,16.6666666666667,CAVE: both used,x
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,A,11,9.09090909090909,,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,B,30,43.3333333333333,,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,rec,41,34.1463414634146,,x
f068ccce-fdb6-4e46-8644-69d64f427305,A,21,29,,
f0846ef5-5cfe-4481-a655-5b3b63d47e49,A,30,13.3333333333333,,
