joined_StudyID_Exp,NumberOfAnimals,Time,Average,Reconciled
03958613-4da9-4de2-8e6b-f63c33a392e1 A,10,1,10,
03958613-4da9-4de2-8e6b-f63c33a392e1 A,10,2,30,
03958613-4da9-4de2-8e6b-f63c33a392e1 A,10,7,30,
03958613-4da9-4de2-8e6b-f63c33a392e1 A,10,7,30,x
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,12,1,8.33333333333333,
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,24,1,12.5,
2ea6da77-9ff3-41a6-9ad5-a46de336416b A,24,1,12.5,x
2f3c1ffb-db00-4396-81d1-2051871f6170 A,34,1,17.7,
2f3c1ffb-db00-4396-81d1-2051871f6170 A,34,2,26.4,
2f3c1ffb-db00-4396-81d1-2051871f6170 A,34,3,29.4,
2f3c1ffb-db00-4396-81d1-2051871f6170 A,34,3,29.4,x
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,1,0,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,2,10,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,3,10,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,4,10,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,5,10,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,6,10,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,7,10,
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef A,10,7,10,x
4e20f054-08ef-4296-994e-6ca213e76698 A,13,1,7.69230769230769,
4e20f054-08ef-4296-994e-6ca213e76698 A,13,2,23.0769230769231,
4e20f054-08ef-4296-994e-6ca213e76698 A,13,3,30.7692307692308,
4e20f054-08ef-4296-994e-6ca213e76698 A,13,3,30.7692307692308,x
61702aff-9b39-42fe-8c00-c62c2bff42ae B,94,0.020833333333333,6.38297872340426,
61702aff-9b39-42fe-8c00-c62c2bff42ae B,38,1,21.0526315789474,
61702aff-9b39-42fe-8c00-c62c2bff42ae B,10,2,40,
61702aff-9b39-42fe-8c00-c62c2bff42ae B,38,1,21.0526315789474,x
61702aff-9b39-42fe-8c00-c62c2bff42ae C,31,0.020833333333333,0,
61702aff-9b39-42fe-8c00-c62c2bff42ae C,16,1,12.5,
61702aff-9b39-42fe-8c00-c62c2bff42ae C,16,1,12.5,x
971d93e5-4b91-4cdc-884d-1069d7400db7 A,15,1,13.3333333333333,
971d93e5-4b91-4cdc-884d-1069d7400db7 A,15,2,26.6666666666667,
971d93e5-4b91-4cdc-884d-1069d7400db7 A,15,3,26.6666666666667,
971d93e5-4b91-4cdc-884d-1069d7400db7 A,15,5,33.3333333333333,
971d93e5-4b91-4cdc-884d-1069d7400db7 A,15,5,33.3333333333333,x
d9b32b94-334f-4bf7-bf75-2b74b39c4d75 B,27,2,22.2222222222222,
d9b32b94-334f-4bf7-bf75-2b74b39c4d75 B,25,2,24,
d9b32b94-334f-4bf7-bf75-2b74b39c4d75 B,27,2,22.2222222222222,x
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A,14,1,7.14285714285714,
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A,14,2,7.14285714285714,
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A,14,3,7.14285714285714,
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A,11,4,36.3636363636364,
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A,11,5,63.6363636363636,
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A,11,6,90.9090909090909,
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf A,11,6,90.9090909090909,x
ef45a356-7026-45c3-ab9c-6d94465bb727 A,7,0.125,14.2857142857143,
ef45a356-7026-45c3-ab9c-6d94465bb727 A,6,0.25,0,
ef45a356-7026-45c3-ab9c-6d94465bb727 A,7,0.5,14.2857142857143,
ef45a356-7026-45c3-ab9c-6d94465bb727 A,15,1,20,
ef45a356-7026-45c3-ab9c-6d94465bb727 A,6,2,0,
ef45a356-7026-45c3-ab9c-6d94465bb727 A,7,3,14.2857142857143,
ef45a356-7026-45c3-ab9c-6d94465bb727 A,15,1,20,x
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,30,1,43.3333333333333,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,30,2,43.3333333333333,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,30,3,63.3333333333333,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,30,4,66.6666666666667,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,30,5,76.6666666666667,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,30,6,76.6666666666667,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,30,7,80,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,30,8,83.3,
ef4ad15c-3f9b-4efd-84a1-ab94609caceb B,30,8,83.3,x
f068ccce-fdb6-4e46-8644-69d64f427305 A,21,1,29,
f068ccce-fdb6-4e46-8644-69d64f427305 A,21,2,35,
f068ccce-fdb6-4e46-8644-69d64f427305 A,21,3,47,
f068ccce-fdb6-4e46-8644-69d64f427305 A,21,4,61,
f068ccce-fdb6-4e46-8644-69d64f427305 A,21,4,61,x
f0846ef5-5cfe-4481-a655-5b3b63d47e49 A,30,0.020833333333333,3.33333333333333,
f0846ef5-5cfe-4481-a655-5b3b63d47e49 A,30,1,13.3333333333333,
f0846ef5-5cfe-4481-a655-5b3b63d47e49 A,30,7,13.3333333333333,
f0846ef5-5cfe-4481-a655-5b3b63d47e49 A,30,7,13.3333333333333,x
