StudyIdStr,Experiment,NumberOfAnimals,Time,Average
11660f81-c343-4396-a097-74ca3430d6fa,A,8,3,0
11660f81-c343-4396-a097-74ca3430d6fa,B,8,2,0
11660f81-c343-4396-a097-74ca3430d6fa,combined,16,3,0
61702aff-9b39-42fe-8c00-c62c2bff42ae,A,4,1,0
61702aff-9b39-42fe-8c00-c62c2bff42ae,B,22,2,0
61702aff-9b39-42fe-8c00-c62c2bff42ae,C,6,1,0
61702aff-9b39-42fe-8c00-c62c2bff42ae,combined,32,2,0
cf210ee3-a04e-4036-a0d9-238e7caf7a06,A,6,NA,0
cf210ee3-a04e-4036-a0d9-238e7caf7a06,B,17,NA,0
cf210ee3-a04e-4036-a0d9-238e7caf7a06,combined,23,NA,0
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,A,24,2,0
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,B,12,2,0
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,combined,36,2,0
ef45a356-7026-45c3-ab9c-6d94465bb727,A,12,NA,0
ef45a356-7026-45c3-ab9c-6d94465bb727,B,34,NA,0
ef45a356-7026-45c3-ab9c-6d94465bb727,combined,46,NA,0
