StudyIdStr,NumberOfAnimals,DiameterMeasurementMethodSHAM,VesselSHAM,SideSHAM,TimeMatch,yiprocent,sdiprocent
1a12d870-e9b4-43c4-af98-a3f1b5caad5e,17,fluorescent microscope,MCA,Left,3,30.44%,10.549%
4e20f054-08ef-4296-994e-6ca213e76698,NA,CT,MCA,Left,3,24.08%,9.031%
4e20f054-08ef-4296-994e-6ca213e76698,NA,Microscopic,MCA,Left,3,10.11%,7.777%
85471734-be40-44d0-b54e-216a1aeb6214,15,fluorescence microscopy imaging ,MCA,,3,25.78%,11.240%
aadfb399-9468-4126-8bac-95f20fb9bf16,16,microscope using a CCD camera ,MCA,,2,26.60%,7.572%
d4d7776b-93ce-43d4-a9b4-4278088aa35f,7,high-resolution images ,ACA,Left,1,72.39%,7.108%
d4d7776b-93ce-43d4-a9b4-4278088aa35f,7,high-resolution images ,ACA,Right,1,38.64%,10.601%
d4d7776b-93ce-43d4-a9b4-4278088aa35f,7,high-resolution images ,Basilar artery,N/A,1,10.97%,4.652%
d4d7776b-93ce-43d4-a9b4-4278088aa35f,7,high-resolution images ,ICA,Left,1,69.05%,9.398%
d4d7776b-93ce-43d4-a9b4-4278088aa35f,7,high-resolution images ,ICA,Right,1,43.87%,9.278%
d4d7776b-93ce-43d4-a9b4-4278088aa35f,7,high-resolution images ,MCA,Left,1,72.95%,6.696%
d4d7776b-93ce-43d4-a9b4-4278088aa35f,7,high-resolution images ,MCA,Right,1,42.80%,9.460%
f0846ef5-5cfe-4481-a655-5b3b63d47e49,9,stereo-fluorescence microscope: vessel painted (DiI) brains ,ACA,Left,5.7,4.00%,3.381%
f0846ef5-5cfe-4481-a655-5b3b63d47e49,9,stereo-fluorescence microscope: vessel painted (DiI) brains ,ACA,Right,5.7,16.38%,2.805%
f0846ef5-5cfe-4481-a655-5b3b63d47e49,9,stereo-fluorescence microscope: vessel painted (DiI) brains ,Basilar artery,N/A,5.7,3.48%,2.544%
f0846ef5-5cfe-4481-a655-5b3b63d47e49,9,stereo-fluorescence microscope: vessel painted (DiI) brains ,ICA,Left,5.7,9.65%,4.426%
f0846ef5-5cfe-4481-a655-5b3b63d47e49,9,stereo-fluorescence microscope: vessel painted (DiI) brains ,ICA,Right,5.7,5.16%,2.395%
f0846ef5-5cfe-4481-a655-5b3b63d47e49,9,stereo-fluorescence microscope: vessel painted (DiI) brains ,MCA,Right,5.7,15.30%,2.827%
f0846ef5-5cfe-4481-a655-5b3b63d47e49,9,stereo-fluorescence microscope: vessel painted (DiI) brains ,MCA,Left,5.7,13.01%,4.384%
